wikiDomain,wikiId,wgWatchShowGeos
luckystar.fandom.com,9824,"US,NL,CA,AU,NZ"
chicagotv.fandom.com,1492399,"US,NL,CA,AU,NZ"
gran-hotel-serie-de-television.fandom.com,732895,"US,NL,CA,AU,NZ"
wicked.fandom.com,6577,"US,NL,CA,AU,NZ"
crypttv.fandom.com,1835537,"US,NL,CA,AU,NZ"
miscreated.fandom.com,1068490,"US,NL,CA,AU,NZ"
adjl.fandom.com,3255,"US,NL,CA,AU,NZ"
spiderman-animated.fandom.com,1223495,"US,NL,CA,AU,NZ"
violetta.fandom.com,444292,"US,NL,CA,AU,NZ"
vld.fandom.com,1431529,"US,NL,CA,AU,NZ"
gravityfalls.fandom.com,521271,"US,NL,CA,AU,NZ"
youtv.fandom.com,1743575,"US,NL,CA,AU,NZ"
mario.fandom.com,493139,"US,NL,CA,AU,NZ"
roblox-tftv.fandom.com,1554424,"US,NL,CA,AU,NZ"
dev.fandom.com,7931,"US,NL,CA,AU,NZ"
charmed.fandom.com,6756,"US,NL,CA,AU,NZ"
unturned.fandom.com,970898,"US,NL,CA,AU,NZ"
el-bestiario.fandom.com,1053109,"US,NL,CA,AU,NZ"
titanstv.fandom.com,1831018,"US,NL,CA,AU,NZ"
theproudfamily.fandom.com,67373,"US,NL,CA,AU,NZ"
thewirehbotv.fandom.com,489590,"US,NL,CA,AU,NZ"
aoc.fandom.com,3236,"US,NL,CA,AU,NZ"
freeciv.fandom.com,2261,"US,NL,CA,AU,NZ"
charmed.fandom.com,62474,"US,NL,CA,AU,NZ"
r2dremastered.fandom.com,1546280,"US,NL,CA,AU,NZ"
walt-disney-videos-uk.fandom.com,1614926,"US,NL,CA,AU,NZ"
natm.fandom.com,26590,"US,NL,CA,AU,NZ"
buzzfeed-unsolved.fandom.com,1662186,"US,NL,CA,AU,NZ"
kickbuttowski.fandom.com,81520,"US,NL,CA,AU,NZ"
monstermovies.fandom.com,506091,"US,NL,CA,AU,NZ"
disneyjuniorpedia.fandom.com,383451,"US,NL,CA,AU,NZ"
television.fandom.com,6589,"US,NL,CA,AU,NZ"
star.fandom.com,1504469,"US,NL,CA,AU,NZ"
charmed.fandom.com,44270,"US,NL,CA,AU,NZ"
almost-a-hero.fandom.com,1546574,"US,NL,CA,AU,NZ"
mightymed.fandom.com,671280,"US,NL,CA,AU,NZ"
book-of-mario.fandom.com,1863455,"US,NL,CA,AU,NZ"
omen.fandom.com,170102,"US,NL,CA,AU,NZ"
disneychannel.fandom.com,7540,"US,NL,CA,AU,NZ"
avatarserv.fandom.com,1635585,"US,NL,CA,AU,NZ"
fnv.fandom.com,1769139,"US,NL,CA,AU,NZ"
assassinscreed.fandom.com,89404,"US,NL,CA,AU,NZ"
teen-wolf-mtv.fandom.com,1218530,"US,NL,CA,AU,NZ"
shield-hero.fandom.com,1587710,"US,NL,CA,AU,NZ"
agario.fandom.com,1179228,"US,NL,CA,AU,NZ"
bejeweled.fandom.com,8392,"US,NL,CA,AU,NZ"
domv.fandom.com,1490234,"US,NL,CA,AU,NZ"
deadlywomen.fandom.com,881301,"US,NL,CA,AU,NZ"
coheed.fandom.com,13283,"US,NL,CA,AU,NZ"
slitherio.fandom.com,1380337,"US,NL,CA,AU,NZ"
die-hard-scenario.fandom.com,800221,"US,NL,CA,AU,NZ"
antfarm.fandom.com,215598,"US,NL,CA,AU,NZ"
sacred.fandom.com,565410,"US,NL,CA,AU,NZ"
littlewomen.fandom.com,528453,"US,NL,CA,AU,NZ"
uncharted.fandom.com,586176,"US,NL,CA,AU,NZ"
grotter-buslaev.fandom.com,203831,"US,NL,CA,AU,NZ"
heavenly-star.fandom.com,1496604,"US,NL,CA,AU,NZ"
factorio.fandom.com,761681,"US,NL,CA,AU,NZ"
thenannytv.fandom.com,52160,"US,NL,CA,AU,NZ"
mynameisearl.fandom.com,5173,"US,NL,CA,AU,NZ"
v.fandom.com,14273,"US,NL,CA,AU,NZ"
outlawstar.fandom.com,229830,"US,NL,CA,AU,NZ"
djangounchained.fandom.com,518430,"US,NL,CA,AU,NZ"
newermario.fandom.com,452210,"US,NL,CA,AU,NZ"
escapefromtarkov.fandom.com,1658165,"US,NL,CA,AU,NZ"
dishonored.fandom.com,1362194,"US,NL,CA,AU,NZ"
greektv.fandom.com,4477,"US,NL,CA,AU,NZ"
ned.fandom.com,14925,"US,NL,CA,AU,NZ"
kingdom-hearts-unlimited.fandom.com,817853,"US,NL,CA,AU,NZ"
crypt-tv.fandom.com,1793330,"US,NL,CA,AU,NZ"
thatssoraven.fandom.com,3401,"US,NL,CA,AU,NZ"
stoked.fandom.com,24104,"US,NL,CA,AU,NZ"
sherlocked.fandom.com,847198,"US,NL,CA,AU,NZ"
shadowhunterstv.fandom.com,1737221,"US,NL,CA,AU,NZ"
granhermanotv.fandom.com,1541567,"US,NL,CA,AU,NZ"
reborn-oc.fandom.com,817751,"US,NL,CA,AU,NZ"
remothered.fandom.com,554708,"US,NL,CA,AU,NZ"
alias.fandom.com,1395,"US,NL,CA,AU,NZ"
fishhooks.fandom.com,69369,"US,NL,CA,AU,NZ"
sled.fandom.com,553121,"US,NL,CA,AU,NZ"
kndloschicosdelbarrio.fandom.com,399307,"US,NL,CA,AU,NZ"
afhv.fandom.com,158328,"US,NL,CA,AU,NZ"
bulu-monster.fandom.com,937376,"US,NL,CA,AU,NZ"
condemned.fandom.com,5412,"US,NL,CA,AU,NZ"
asimov.fandom.com,63,"US,NL,CA,AU,NZ"
super-once-tv.fandom.com,169374,"US,NL,CA,AU,NZ"
shadowhunterstv.fandom.com,1617840,"US,NL,CA,AU,NZ"
dcuniverse-tv.fandom.com,2041172,"US,NL,CA,AU,NZ"
frozen.fandom.com,878740,"US,NL,CA,AU,NZ"
ink-master-tv.fandom.com,1074085,"US,NL,CA,AU,NZ"
broken-bones-iv.fandom.com,1881831,"US,NL,CA,AU,NZ"
taoc.fandom.com,2043287,"US,NL,CA,AU,NZ"
swallowed-star.fandom.com,1708073,"US,NL,CA,AU,NZ"
failyv.fandom.com,1651668,"US,NL,CA,AU,NZ"
minhero.fandom.com,793808,"US,NL,CA,AU,NZ"
phineasandferb.fandom.com,452879,"US,NL,CA,AU,NZ"
needforspeed.fandom.com,5310,"US,NL,CA,AU,NZ"
acquisitionsincorporated.fandom.com,1586711,"US,NL,CA,AU,NZ"
bewitched.fandom.com,35332,"US,NL,CA,AU,NZ"
kuplinov.fandom.com,1329966,"US,NL,CA,AU,NZ"
hitorijime-my-hero.fandom.com,1596108,"US,NL,CA,AU,NZ"
shadowhunterstv.fandom.com,1636373,"US,NL,CA,AU,NZ"
kickbuttowski.fandom.com,125558,"US,NL,CA,AU,NZ"
boondockstv.fandom.com,94789,"US,NL,CA,AU,NZ"
bossmonster.fandom.com,648088,"US,NL,CA,AU,NZ"
teenbeachmovie.fandom.com,613758,"US,NL,CA,AU,NZ"
star-wars-canon-extended.fandom.com,1288645,"US,NL,CA,AU,NZ"
disney-descendants.fandom.com,904306,"US,NL,CA,AU,NZ"
sony.fandom.com,1121876,"US,NL,CA,AU,NZ"
sao-abridged.fandom.com,1511484,"US,NL,CA,AU,NZ"
thepurgetv.fandom.com,1806819,"US,NL,CA,AU,NZ"
changed.fandom.com,1749082,"US,NL,CA,AU,NZ"
onibusdorio.fandom.com,242021,"US,NL,CA,AU,NZ"
fatherted.fandom.com,7076,"US,NL,CA,AU,NZ"
overcooked.fandom.com,1433259,"US,NL,CA,AU,NZ"
digimon-unlimited.fandom.com,753881,"US,NL,CA,AU,NZ"
tkoc.fandom.com,205689,"US,NL,CA,AU,NZ"
alf.fandom.com,3653,"US,NL,CA,AU,NZ"
swampthingtv.fandom.com,1731669,"US,NL,CA,AU,NZ"
nickelodeon-movies.fandom.com,1555057,"US,NL,CA,AU,NZ"
wario.fandom.com,5391,"US,NL,CA,AU,NZ"
wicdiv.fandom.com,1118283,"US,NL,CA,AU,NZ"
