wikiDomain,wikiId,wgWatchShowEnabledDate
teen-wolf-mtv.fandom.com,1218530,
shield-hero.fandom.com,1587710,
agario.fandom.com,1179228,
bejeweled.fandom.com,8392,
domv.fandom.com,1490234,
deadlywomen.fandom.com,881301,
coheed.fandom.com,13283,
slitherio.fandom.com,1380337,
die-hard-scenario.fandom.com,800221,
antfarm.fandom.com,215598,
sacred.fandom.com,565410,
littlewomen.fandom.com,528453,
uncharted.fandom.com,586176,
grotter-buslaev.fandom.com,203831,
heavenly-star.fandom.com,1496604,
factorio.fandom.com,761681,
thenannytv.fandom.com,52160,
mynameisearl.fandom.com,5173,
v.fandom.com,14273,
outlawstar.fandom.com,229830,
djangounchained.fandom.com,518430,
newermario.fandom.com,452210,
escapefromtarkov.fandom.com,1658165,
dishonored.fandom.com,1362194,
greektv.fandom.com,4477,
ned.fandom.com,14925,
kingdom-hearts-unlimited.fandom.com,817853,
crypt-tv.fandom.com,1793330,
thatssoraven.fandom.com,3401,
stoked.fandom.com,24104,
sherlocked.fandom.com,847198,
shadowhunterstv.fandom.com,1737221,
granhermanotv.fandom.com,1541567,
reborn-oc.fandom.com,817751,
remothered.fandom.com,554708,
alias.fandom.com,1395,
fishhooks.fandom.com,69369,
sled.fandom.com,553121,
kndloschicosdelbarrio.fandom.com,399307,
afhv.fandom.com,158328,
bulu-monster.fandom.com,937376,
condemned.fandom.com,5412,
asimov.fandom.com,63,
super-once-tv.fandom.com,169374,
shadowhunterstv.fandom.com,1617840,
dcuniverse-tv.fandom.com,2041172,
frozen.fandom.com,878740,
ink-master-tv.fandom.com,1074085,
broken-bones-iv.fandom.com,1881831,
taoc.fandom.com,2043287,
swallowed-star.fandom.com,1708073,
failyv.fandom.com,1651668,
minhero.fandom.com,793808,
phineasandferb.fandom.com,452879,
needforspeed.fandom.com,5310,
acquisitionsincorporated.fandom.com,1586711,
bewitched.fandom.com,35332,
kuplinov.fandom.com,1329966,
hitorijime-my-hero.fandom.com,1596108,
shadowhunterstv.fandom.com,1636373,
kickbuttowski.fandom.com,125558,
boondockstv.fandom.com,94789,
bossmonster.fandom.com,648088,
teenbeachmovie.fandom.com,613758,
star-wars-canon-extended.fandom.com,1288645,
disney-descendants.fandom.com,904306,
sony.fandom.com,1121876,
sao-abridged.fandom.com,1511484,
thepurgetv.fandom.com,1806819,
changed.fandom.com,1749082,
onibusdorio.fandom.com,242021,
fatherted.fandom.com,7076,
overcooked.fandom.com,1433259,
digimon-unlimited.fandom.com,753881,
tkoc.fandom.com,205689,
alf.fandom.com,3653,
swampthingtv.fandom.com,1731669,
nickelodeon-movies.fandom.com,1555057,
wario.fandom.com,5391,
wicdiv.fandom.com,1118283,
