!version: $Revision: 1.48 $
!date: $Date: 2006/07/27 13:53:31 $
!Mapping of GO function_ontology "enzymes" to Enzyme Commission Numbers.
!original mapping by Michael Ashburner, Cambridge.
!This version parsed from function.ontology on 2006/07/14 16:07:33
!by Daniel Barrell, EBI, Hinxton
!
EC:1 > GO:oxidoreductase activity ; GO:0016491
EC:1.1.1.118 > GO:glucose 1-dehydrogenase (NAD+) activity ; GO:0047934
EC:1.1.1.119 > GO:glucose 1-dehydrogenase (NADP+) activity ; GO:0047935
EC:1.1.1.12 > GO:L-arabinitol 4-dehydrogenase activity ; GO:0050019
EC:1.1.1.120 > GO:galactose 1-dehydrogenase (NADP+) activity ; GO:0047910
EC:1.1.1.121 > GO:aldose 1-dehydrogenase activity ; GO:0047640
EC:1.1.1.122 > GO:D-threo-aldose 1-dehydrogenase activity ; GO:0047834
EC:1.1.1.123 > GO:sorbose 5-dehydrogenase (NADP+) activity ; GO:0050287
EC:1.1.1.124 > GO:fructose 5-dehydrogenase (NADP+) activity ; GO:0047903
EC:1.1.1.125 > GO:2-deoxy-D-gluconate 3-dehydrogenase activity ; GO:0008678
EC:1.1.1.126 > GO:2-dehydro-3-deoxy-D-gluconate 6-dehydrogenase activity ; GO:0047000
EC:1.1.1.127 > GO:2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase activity ; GO:0047001
EC:1.1.1.128 > GO:L-idonate 2-dehydrogenase activity ; GO:0050027
EC:1.1.1.129 > GO:L-threonate 3-dehydrogenase activity ; GO:0050036
EC:1.1.1.13 > GO:L-arabinitol 2-dehydrogenase activity ; GO:0047002
EC:1.1.1.130 > GO:3-dehydro-L-gulonate 2-dehydrogenase activity ; GO:0047559
EC:1.1.1.131 > GO:mannuronate reductase activity ; GO:0050090
EC:1.1.1.132 > GO:GDP-mannose 6-dehydrogenase activity ; GO:0047919
EC:1.1.1.133 > GO:dTDP-4-dehydrorhamnose reductase activity ; GO:0008831
EC:1.1.1.134 > GO:dTDP-6-deoxy-L-talose 4-dehydrogenase activity ; GO:0047003
EC:1.1.1.135 > GO:GDP-6-deoxy-D-talose 4-dehydrogenase activity ; GO:0047916
EC:1.1.1.136 > GO:UDP-N-acetylglucosamine 6-dehydrogenase activity ; GO:0047004
EC:1.1.1.137 > GO:ribitol-5-phosphate 2-dehydrogenase activity ; GO:0050256
EC:1.1.1.138 > GO:mannitol 2-dehydrogenase (NADP+) activity ; GO:0050085
EC:1.1.1.14 > GO:L-iditol 2-dehydrogenase activity ; GO:0003939
EC:1.1.1.140 > GO:sorbitol-6-phosphate 2-dehydrogenase activity ; GO:0009010
EC:1.1.1.141 > GO:15-hydroxyprostaglandin dehydrogenase (NAD+) activity ; GO:0016404
EC:1.1.1.142 > GO:D-pinitol dehydrogenase activity ; GO:0047832
EC:1.1.1.143 > GO:sequoyitol dehydrogenase activity ; GO:0050280
EC:1.1.1.144 > GO:perillyl-alcohol dehydrogenase activity ; GO:0018457
EC:1.1.1.145 > GO:3-beta-hydroxy-delta5-steroid dehydrogenase activity ; GO:0003854
EC:1.1.1.146 > GO:11-beta-hydroxysteroid dehydrogenase activity ; GO:0003845
EC:1.1.1.147 > GO:16-alpha-hydroxysteroid dehydrogenase activity ; GO:0047005
EC:1.1.1.148 > GO:estradiol 17-alpha-dehydrogenase activity ; GO:0047881
EC:1.1.1.149 > GO:20-alpha-hydroxysteroid dehydrogenase activity ; GO:0047006
EC:1.1.1.15 > GO:D-iditol 2-dehydrogenase activity ; GO:0047824
EC:1.1.1.150 > GO:21-hydroxysteroid dehydrogenase (NAD+) activity ; GO:0047007
EC:1.1.1.151 > GO:21-hydroxysteroid dehydrogenase (NADP+) activity ; GO:0047008
EC:1.1.1.152 > GO:3-alpha-hydroxy-5-beta-androstane-17-one 3-alpha-dehydrogenase activity ; GO:0047009
EC:1.1.1.153 > GO:sepiapterin reductase activity ; GO:0004757
EC:1.1.1.154 > GO:ureidoglycolate dehydrogenase activity ; GO:0009040
EC:1.1.1.156 > GO:glycerol 2-dehydrogenase (NADP+) activity ; GO:0047953
EC:1.1.1.157 > GO:3-hydroxybutyryl-CoA dehydrogenase activity ; GO:0008691
EC:1.1.1.158 > GO:UDP-N-acetylmuramate dehydrogenase activity ; GO:0008762
EC:1.1.1.159 > GO:7-alpha-hydroxysteroid dehydrogenase activity ; GO:0008709
EC:1.1.1.16 > GO:galactitol 2-dehydrogenase activity ; GO:0047713
EC:1.1.1.160 > GO:dihydrobunolol dehydrogenase activity ; GO:0047855
EC:1.1.1.161 > GO:cholestanetetraol 26-dehydrogenase activity ; GO:0047748
EC:1.1.1.162 > GO:erythrulose reductase activity ; GO:0047880
EC:1.1.1.164 > GO:hexadecanol dehydrogenase activity ; GO:0047978
EC:1.1.1.165 > GO:2-alkyn-1-ol dehydrogenase activity ; GO:0047535
EC:1.1.1.166 > GO:hydroxycyclohexanecarboxylate dehydrogenase activity ; GO:0047010
EC:1.1.1.167 > GO:hydroxymalonate dehydrogenase activity ; GO:0047993
EC:1.1.1.168 > GO:2-dehydropantolactone reductase (A-specific) activity ; GO:0047011
EC:1.1.1.169 > GO:2-dehydropantoate 2-reductase activity ; GO:0008677
EC:1.1.1.17 > GO:mannitol-1-phosphate 5-dehydrogenase activity ; GO:0008926
EC:1.1.1.170 > GO:sterol-4-alpha-carboxylate 3-dehydrogenase (decarboxylating) activity ; GO:0047012
EC:1.1.1.172 > GO:2-oxoadipate reductase activity ; GO:0047550
EC:1.1.1.173 > GO:L-rhamnose 1-dehydrogenase activity ; GO:0050034
EC:1.1.1.174 > GO:cyclohexane-1,2-diol dehydrogenase activity ; GO:0047795
EC:1.1.1.175 > GO:D-xylose 1-dehydrogenase activity ; GO:0047838
EC:1.1.1.176 > GO:12-alpha-hydroxysteroid dehydrogenase activity ; GO:0047013
EC:1.1.1.177 > GO:glycerol-3-phosphate 1-dehydrogenase (NADP+) activity ; GO:0047014
EC:1.1.1.178 > GO:3-hydroxy-2-methylbutyryl-CoA dehydrogenase activity ; GO:0047015
EC:1.1.1.179 > GO:D-xylose 1-dehydrogenase (NADP+) activity ; GO:0047837
EC:1.1.1.18 > GO:inositol 2-dehydrogenase activity ; GO:0050112
EC:1.1.1.181 > GO:cholest-5-ene-3-beta,7-alpha-diol 3-beta-dehydrogenase activity ; GO:0047016
EC:1.1.1.183 > GO:geraniol dehydrogenase activity ; GO:0047924
EC:1.1.1.184 > GO:carbonyl reductase (NADPH) activity ; GO:0004090
EC:1.1.1.185 > GO:L-glycol dehydrogenase activity ; GO:0050026
EC:1.1.1.187 > GO:GDP-4-dehydro-D-rhamnose reductase activity ; GO:0042356
EC:1.1.1.188 > GO:prostaglandin-F synthase activity ; GO:0047017
EC:1.1.1.189 > GO:prostaglandin-E2 9-reductase activity ; GO:0050221
EC:1.1.1.19 > GO:L-glucuronate reductase activity ; GO:0047939
EC:1.1.1.190 > GO:indole-3-acetaldehyde reductase (NADH) activity ; GO:0047018
EC:1.1.1.191 > GO:indole-3-acetaldehyde reductase (NADPH) activity ; GO:0047019
EC:1.1.1.192 > GO:long-chain-alcohol dehydrogenase activity ; GO:0050060
EC:1.1.1.193 > GO:5-amino-6-(5-phosphoribosylamino)uracil reductase activity ; GO:0008703
EC:1.1.1.194 > GO:coniferyl-alcohol dehydrogenase activity ; GO:0050268
EC:1.1.1.195 > GO:cinnamyl-alcohol dehydrogenase activity ; GO:0045551
EC:1.1.1.196 > GO:15-hydroxyprostaglandin-D dehydrogenase (NADP+) activity ; GO:0047020
EC:1.1.1.197 > GO:15-hydroxyprostaglandin dehydrogenase (NADP+) activity ; GO:0047021
EC:1.1.1.198 > GO:(+)-borneol dehydrogenase activity ; GO:0047500
EC:1.1.1.199 > GO:(S)-usnate reductase activity ; GO:0046998
EC:1.1.1.2 > GO:alcohol dehydrogenase (NADP+) activity ; GO:0008106
EC:1.1.1.20 > GO:glucuronolactone reductase activity ; GO:0047941
EC:1.1.1.200 > GO:aldose-6-phosphate reductase (NADPH) activity ; GO:0047641
EC:1.1.1.201 > GO:7-beta-hydroxysteroid dehydrogenase (NADP+) activity ; GO:0047022
EC:1.1.1.202 > GO:1,3-propanediol dehydrogenase activity ; GO:0047516
EC:1.1.1.203 > GO:uronate dehydrogenase activity ; GO:0050388
EC:1.1.1.205 > GO:IMP dehydrogenase activity ; GO:0003938
EC:1.1.1.206 > GO:tropine dehydrogenase activity ; GO:0050356
EC:1.1.1.207 > GO:(-)-menthol dehydrogenase activity ; GO:0047504
EC:1.1.1.208 > GO:(+)-neomenthol dehydrogenase activity ; GO:0047501
EC:1.1.1.209 > GO:3(or 17)-alpha-hydroxysteroid dehydrogenase activity ; GO:0047023
EC:1.1.1.21 > GO:aldehyde reductase activity ; GO:0004032
EC:1.1.1.210 > GO:3-beta(or 20-alpha)-hydroxysteroid dehydrogenase activity ; GO:0047024
EC:1.1.1.211 > GO:long-chain-3-hydroxyacyl-CoA dehydrogenase activity ; GO:0016509
EC:1.1.1.212 > GO:3-oxoacyl-[acyl-carrier protein] reductase (NADH) activity ; GO:0047025
EC:1.1.1.213 > GO:3-alpha-hydroxysteroid dehydrogenase (A-specific) activity ; GO:0047026
EC:1.1.1.214 > GO:2-dehydropantolactone reductase (B-specific) activity ; GO:0019141
EC:1.1.1.215 > GO:gluconate 2-dehydrogenase activity ; GO:0008873
EC:1.1.1.216 > GO:farnesol dehydrogenase activity ; GO:0047886
EC:1.1.1.217 > GO:benzyl-2-methyl-hydroxybutyrate dehydrogenase activity ; GO:0047027
EC:1.1.1.218 > GO:morphine 6-dehydrogenase activity ; GO:0050109
EC:1.1.1.219 > GO:dihydrokaempferol 4-reductase activity ; GO:0045552
EC:1.1.1.22 > GO:UDP-glucose 6-dehydrogenase activity ; GO:0003979
EC:1.1.1.220 > GO:6-pyruvoyltetrahydropterin 2'-reductase activity ; GO:0047028
EC:1.1.1.221 > GO:vomifoliol 4'-dehydrogenase activity ; GO:0050396
EC:1.1.1.222 > GO:(R)-4-hydroxyphenyllactate dehydrogenase activity ; GO:0047029
EC:1.1.1.223 > GO:isopiperitenol dehydrogenase activity ; GO:0018458
EC:1.1.1.224 > GO:mannose-6-phosphate 6-reductase activity ; GO:0050088
EC:1.1.1.225 > GO:chlordecone reductase activity ; GO:0047743
EC:1.1.1.226 > GO:4-hydroxycyclohexanecarboxylate dehydrogenase activity ; GO:0047030
EC:1.1.1.227 > GO:(-)-borneol dehydrogenase activity ; GO:0047503
EC:1.1.1.228 > GO:(+)-sabinol dehydrogenase activity ; GO:0047502
EC:1.1.1.229 > GO:diethyl 2-methyl-3-oxosuccinate reductase activity ; GO:0047031
EC:1.1.1.23 > GO:histidinol dehydrogenase activity ; GO:0004399
EC:1.1.1.230 > GO:3-alpha-hydroxyglycyrrhetinate dehydrogenase activity ; GO:0047032
EC:1.1.1.231 > GO:15-hydroxyprostaglandin-I dehydrogenase (NADP+) activity ; GO:0047033
EC:1.1.1.232 > GO:15-hydroxyicosatetraenoate dehydrogenase activity ; GO:0047034
EC:1.1.1.233 > GO:N-acylmannosamine 1-dehydrogenase activity ; GO:0050123
EC:1.1.1.234 > GO:flavanone 4-reductase activity ; GO:0047890
EC:1.1.1.235 > GO:8-oxocoformycin reductase activity ; GO:0047599
EC:1.1.1.236 > GO:tropinone reductase activity ; GO:0050358
EC:1.1.1.237 > GO:hydroxyphenylpyruvate reductase activity ; GO:0047995
EC:1.1.1.238 > GO:12-beta-hydroxysteroid dehydrogenase activity ; GO:0047521
EC:1.1.1.239 > GO:3-alpha(17-beta)-hydroxysteroid dehydrogenase (NAD+) activity ; GO:0047035
EC:1.1.1.24 > GO:quinate 5-dehydrogenase activity ; GO:0030266
EC:1.1.1.240 > GO:N-acetylhexosamine 1-dehydrogenase activity ; GO:0050120
EC:1.1.1.241 > GO:6-endo-hydroxycineole dehydrogenase activity ; GO:0045481
EC:1.1.1.243 > GO:carveol dehydrogenase activity ; GO:0018459
EC:1.1.1.244 > GO:methanol dehydrogenase activity ; GO:0050093
EC:1.1.1.245 > GO:cyclohexanol dehydrogenase activity ; GO:0018460
EC:1.1.1.246 > GO:pterocarpin synthase activity ; GO:0050229
EC:1.1.1.247 > GO:codeinone reductase (NADPH) activity ; GO:0047036
EC:1.1.1.248 > GO:salutaridine reductase (NADPH) activity ; GO:0047037
EC:1.1.1.25 > GO:shikimate 5-dehydrogenase activity ; GO:0004764
EC:1.1.1.250 > GO:D-arabinitol 2-dehydrogenase activity ; GO:0047038
EC:1.1.1.251 > GO:galactitol-1-phosphate 5-dehydrogenase activity ; GO:0008868
EC:1.1.1.252 > GO:tetrahydroxynaphthalene reductase activity ; GO:0047039
EC:1.1.1.254 > GO:(S)-carnitine 3-dehydrogenase activity ; GO:0047041
EC:1.1.1.255 > GO:mannitol dehydrogenase activity ; GO:0046029
EC:1.1.1.256 > GO:fluoren-9-ol dehydrogenase activity ; GO:0018461
EC:1.1.1.257 > GO:4-(hydroxymethyl)benzenesulfonate dehydrogenase activity ; GO:0018462
EC:1.1.1.258 > GO:6-hydroxyhexanoate dehydrogenase activity ; GO:0018463
EC:1.1.1.259 > GO:3-hydroxypimeloyl-CoA dehydrogenase activity ; GO:0018464
EC:1.1.1.26 > GO:glyoxylate reductase activity ; GO:0047964
EC:1.1.1.260 > GO:sulcatone reductase activity ; GO:0050491
EC:1.1.1.261 > GO:glycerol-1-phosphate dehydrogenase [NAD(P)+] activity ; GO:0050492
EC:1.1.1.262 > GO:4-hydroxythreonine-4-phosphate dehydrogenase activity ; GO:0050570
EC:1.1.1.263 > GO:1,5-anhydro-D-fructose reductase activity ; GO:0050571
EC:1.1.1.264 > GO:L-idonate 5-dehydrogenase activity ; GO:0050572
EC:1.1.1.265 > GO:3-methylbutanal reductase activity ; GO:0046568
EC:1.1.1.266 > GO:dTDP-4-dehydro-6-deoxyglucose reductase activity ; GO:0050573
EC:1.1.1.267 > GO:1-deoxy-D-xylulose-5-phosphate reductoisomerase activity ; GO:0030604
EC:1.1.1.268 > GO:2-(R)-hydroxypropyl-CoM dehydrogenase activity ; GO:0050574
EC:1.1.1.269 > GO:2-(S)-hydroxypropyl-CoM dehydrogenase activity ; GO:0050575
EC:1.1.1.27 > GO:L-lactate dehydrogenase activity ; GO:0004459
EC:1.1.1.270 > GO:3-keto-steroid reductase activity ; GO:0050576
EC:1.1.1.271 > GO:GDP-L-fucose synthase activity ; GO:0050577
EC:1.1.1.272 > GO:(R)-2-hydroxyacid dehydrogenase activity ; GO:0050578
EC:1.1.1.273 > GO:vellosimine dehydrogenase activity ; GO:0050579
EC:1.1.1.274 > GO:2,5-didehydrogluconate reductase activity ; GO:0050580
EC:1.1.1.276 > GO:serine 3-dehydrogenase ; GO:0031132
EC:1.1.1.279 > GO:(R)-3-hydroxyacid-ester dehydrogenase activity ; GO:0047108
EC:1.1.1.28 > GO:D-lactate dehydrogenase activity ; GO:0008720
EC:1.1.1.280 > GO:(S)-3-hydroxyacid-ester dehydrogenase activity ; GO:0047109
EC:1.1.1.284 > GO:S-(hydroxymethyl)glutathione dehydrogenase activity ; GO:0051903
EC:1.1.1.289 > GO:sorbose reductase activity ; GO:0032115
EC:1.1.1.29 > GO:glycerate dehydrogenase activity ; GO:0008465
EC:1.1.1.3 > GO:homoserine dehydrogenase activity ; GO:0004412
EC:1.1.1.30 > GO:3-hydroxybutyrate dehydrogenase activity ; GO:0003858
EC:1.1.1.31 > GO:3-hydroxyisobutyrate dehydrogenase activity ; GO:0008442
EC:1.1.1.32 > GO:mevaldate reductase (NAD+) activity ; GO:0019727
EC:1.1.1.33 > GO:mevaldate reductase (NADPH) activity ; GO:0019726
EC:1.1.1.34 > GO:hydroxymethylglutaryl-CoA reductase (NADPH) activity ; GO:0004420
EC:1.1.1.35 > GO:3-hydroxyacyl-CoA dehydrogenase activity ; GO:0003857
EC:1.1.1.36 > GO:acetoacetyl-CoA reductase activity ; GO:0018454
EC:1.1.1.37 > GO:L-malate dehydrogenase activity ; GO:0030060
EC:1.1.1.38 > GO:malate dehydrogenase (oxaloacetate-decarboxylating) activity ; GO:0016619
EC:1.1.1.39 > GO:malate dehydrogenase (decarboxylating) activity ; GO:0004471
EC:1.1.1.4 > GO:(R,R)-butanediol dehydrogenase activity ; GO:0000721
EC:1.1.1.40 > GO:malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+) activity ; GO:0004473
EC:1.1.1.41 > GO:isocitrate dehydrogenase (NAD+) activity ; GO:0004449
EC:1.1.1.42 > GO:isocitrate dehydrogenase (NADP+) activity ; GO:0004450
EC:1.1.1.43 > GO:phosphogluconate 2-dehydrogenase activity ; GO:0008114
EC:1.1.1.44 > GO:phosphogluconate dehydrogenase (decarboxylating) activity ; GO:0004616
EC:1.1.1.45 > GO:L-gulonate 3-dehydrogenase activity ; GO:0050104
EC:1.1.1.46 > GO:L-arabinose 1-dehydrogenase activity ; GO:0050022
EC:1.1.1.47 > GO:glucose 1-dehydrogenase activity ; GO:0047936
EC:1.1.1.48 > GO:galactose 1-dehydrogenase activity ; GO:0019151
EC:1.1.1.49 > GO:glucose-6-phosphate 1-dehydrogenase activity ; GO:0004345
EC:1.1.1.5 > GO:acetoin dehydrogenase activity ; GO:0019152
EC:1.1.1.50 > GO:3-alpha-hydroxysteroid dehydrogenase (B-specific) activity ; GO:0047042
EC:1.1.1.51 > GO:3(or 17)beta-hydroxysteroid dehydrogenase activity ; GO:0030283
EC:1.1.1.52 > GO:3-alpha-hydroxycholanate dehydrogenase activity ; GO:0047043
EC:1.1.1.53 > GO:3-alpha(or 20-beta)-hydroxysteroid dehydrogenase activity ; GO:0047044
EC:1.1.1.54 > GO:allyl-alcohol dehydrogenase activity ; GO:0047655
EC:1.1.1.55 > GO:lactaldehyde reductase (NADPH) activity ; GO:0050039
EC:1.1.1.56 > GO:ribitol 2-dehydrogenase activity ; GO:0050255
EC:1.1.1.57 > GO:fructuronate reductase activity ; GO:0008866
EC:1.1.1.58 > GO:tagaturonate reductase activity ; GO:0009026
EC:1.1.1.59 > GO:3-hydroxypropionate dehydrogenase activity ; GO:0047565
EC:1.1.1.6 > GO:glycerol dehydrogenase activity ; GO:0008888
EC:1.1.1.60 > GO:2-hydroxy-3-oxopropionate reductase activity ; GO:0008679
EC:1.1.1.61 > GO:4-hydroxybutyrate dehydrogenase activity ; GO:0047577
EC:1.1.1.62 > GO:estradiol 17-beta-dehydrogenase activity ; GO:0004303
EC:1.1.1.63 > GO:testosterone 17-beta-dehydrogenase activity ; GO:0050327
EC:1.1.1.64 > GO:testosterone 17-beta-dehydrogenase (NADP+) activity ; GO:0047045
EC:1.1.1.65 > GO:pyridoxine 4-dehydrogenase activity ; GO:0050236
EC:1.1.1.66 > GO:omega-hydroxydecanoate dehydrogenase activity ; GO:0050153
EC:1.1.1.67 > GO:mannitol 2-dehydrogenase activity ; GO:0050086
EC:1.1.1.69 > GO:gluconate 5-dehydrogenase activity ; GO:0008874
EC:1.1.1.7 > GO:propanediol-phosphate dehydrogenase activity ; GO:0050216
EC:1.1.1.71 > GO:alcohol dehydrogenase [NAD(P)+] activity ; GO:0018455
EC:1.1.1.72 > GO:glycerol dehydrogenase (NADP+) activity ; GO:0047956
EC:1.1.1.73 > GO:octanol dehydrogenase activity ; GO:0004552
EC:1.1.1.75 > GO:(R)-aminopropanol dehydrogenase activity ; GO:0019147
EC:1.1.1.76 > GO:(S,S)-butanediol dehydrogenase activity ; GO:0047512
EC:1.1.1.77 > GO:lactaldehyde reductase activity ; GO:0008912
EC:1.1.1.78 > GO:D-lactaldehyde dehydrogenase activity ; GO:0019170
EC:1.1.1.79 > GO:glyoxylate reductase (NADP) activity ; GO:0030267
EC:1.1.1.8 > GO:glycerol-3-phosphate dehydrogenase (NAD+) activity ; GO:0004367
EC:1.1.1.80 > GO:isopropanol dehydrogenase (NADP+) activity ; GO:0050009
EC:1.1.1.81 > GO:hydroxypyruvate reductase activity ; GO:0016618
EC:1.1.1.82 > GO:malate dehydrogenase (NADP+) activity ; GO:0046554
EC:1.1.1.83 > GO:D-malate dehydrogenase (decarboxylating) activity ; GO:0046553
EC:1.1.1.84 > GO:dimethylmalate dehydrogenase activity ; GO:0047867
EC:1.1.1.85 > GO:3-isopropylmalate dehydrogenase activity ; GO:0003862
EC:1.1.1.86 > GO:ketol-acid reductoisomerase activity ; GO:0004455
EC:1.1.1.87 > GO:homoisocitrate dehydrogenase activity ; GO:0047046
EC:1.1.1.88 > GO:hydroxymethylglutaryl-CoA reductase activity ; GO:0042282
EC:1.1.1.9 > GO:D-xylulose reductase activity ; GO:0046526
EC:1.1.1.90 > GO:aryl-alcohol dehydrogenase activity ; GO:0018456
EC:1.1.1.91 > GO:aryl-alcohol dehydrogenase (NADP+) activity ; GO:0047681
EC:1.1.1.92 > GO:oxaloglycolate reductase (decarboxylating) activity ; GO:0047047
EC:1.1.1.93 > GO:tartrate dehydrogenase activity ; GO:0009027
EC:1.1.1.94 > GO:glycerol-3-phosphate dehydrogenase [NAD(P)+] activity ; GO:0047952
EC:1.1.1.95 > GO:phosphoglycerate dehydrogenase activity ; GO:0004617
EC:1.1.1.96 > GO:diiodophenylpyruvate reductase activity ; GO:0047860
EC:1.1.1.97 > GO:3-hydroxybenzyl-alcohol dehydrogenase activity ; GO:0047048
EC:1.1.1.98 > GO:(R)-2-hydroxy-fatty-acid dehydrogenase activity ; GO:0047049
EC:1.1.1.99 > GO:(S)-2-hydroxy-fatty-acid dehydrogenase activity ; GO:0047050
EC:1.1.2 > GO:oxidoreductase activity, acting on the CH-OH group of donors, cytochrome as acceptor ; GO:0016898
EC:1.1.2.2 > GO:mannitol dehydrogenase (cytochrome) activity ; GO:0050087
EC:1.1.2.3 > GO:L-lactate dehydrogenase (cytochrome) activity ; GO:0004460
EC:1.1.2.4 > GO:D-lactate dehydrogenase (cytochrome) activity ; GO:0004458
EC:1.1.2.5 > GO:D-lactate dehydrogenase (cytochrome c-553) activity ; GO:0047051
EC:1.1.3 > GO:oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor ; GO:0016899
EC:1.1.3.10 > GO:pyranose oxidase activity ; GO:0050233
EC:1.1.3.11 > GO:L-sorbose oxidase activity ; GO:0050035
EC:1.1.3.12 > GO:pyridoxine 4-oxidase activity ; GO:0050237
EC:1.1.3.13 > GO:alcohol oxidase activity ; GO:0047639
EC:1.1.3.14 > GO:catechol oxidase (dimerizing) activity ; GO:0047731
EC:1.1.3.15 > GO:(S)-2-hydroxy-acid oxidase activity ; GO:0003973
EC:1.1.3.16 > GO:ecdysone oxidase activity ; GO:0047875
EC:1.1.3.19 > GO:4-hydroxymandelate oxidase activity ; GO:0047579
EC:1.1.3.20 > GO:long-chain-alcohol oxidase activity ; GO:0046577
EC:1.1.3.21 > GO:glycerol-3-phosphate oxidase activity ; GO:0004369
EC:1.1.3.23 > GO:thiamin oxidase activity ; GO:0050423
EC:1.1.3.24 > GO:L-galactonolactone oxidase activity ; GO:0050024
EC:1.1.3.27 > GO:hydroxyphytanate oxidase activity ; GO:0047996
EC:1.1.3.29 > GO:N-acylhexosamine oxidase activity ; GO:0050122
EC:1.1.3.3 > GO:malate oxidase activity ; GO:0019157
EC:1.1.3.30 > GO:polyvinyl-alcohol oxidase activity ; GO:0050209
EC:1.1.3.37 > GO:D-arabinono-1,4-lactone oxidase activity ; GO:0003885
EC:1.1.3.38 > GO:vanillyl-alcohol oxidase activity ; GO:0018465
EC:1.1.3.4 > GO:glucose oxidase activity ; GO:0046562
EC:1.1.3.40 > GO:D-mannitol oxidase activity ; GO:0050581
EC:1.1.3.41 > GO:xylitol oxidase activity ; GO:0050582
EC:1.1.3.5 > GO:hexose oxidase activity ; GO:0047979
EC:1.1.3.6 > GO:cholesterol oxidase activity ; GO:0016995
EC:1.1.3.7 > GO:aryl-alcohol oxidase activity ; GO:0047682
EC:1.1.3.8 > GO:L-gulonolactone oxidase activity ; GO:0050105
EC:1.1.3.9 > GO:galactose oxidase activity ; GO:0045480
EC:1.1.4 > GO:oxidoreductase activity, acting on the CH-OH group of donors, disulfide as acceptor ; GO:0016900
EC:1.1.4.1 > GO:vitamin-K-epoxide reductase (warfarin-sensitive) activity ; GO:0047057
EC:1.1.4.2 > GO:vitamin-K-epoxide reductase (warfarin-insensitive) activity ; GO:0047058
EC:1.1.5 > GO:oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor ; GO:0016901
EC:1.1.5.2 > GO:quinoprotein glucose dehydrogenase activity ; GO:0008876
EC:1.1.99.1 > GO:choline dehydrogenase activity ; GO:0008812
EC:1.1.99.10 > GO:glucose dehydrogenase (acceptor) activity ; GO:0004344
EC:1.1.99.11 > GO:fructose 5-dehydrogenase activity ; GO:0047904
EC:1.1.99.12 > GO:sorbose dehydrogenase activity ; GO:0050288
EC:1.1.99.14 > GO:glycolate dehydrogenase activity ; GO:0019154
EC:1.1.99.16 > GO:malate dehydrogenase (acceptor) activity ; GO:0008924
EC:1.1.99.18 > GO:cellobiose dehydrogenase (acceptor) activity ; GO:0047735
EC:1.1.99.19 > GO:uracil dehydrogenase activity ; GO:0050383
EC:1.1.99.2 > GO:2-hydroxyglutarate dehydrogenase activity ; GO:0047545
EC:1.1.99.20 > GO:alkan-1-ol dehydrogenase (acceptor) activity ; GO:0047645
EC:1.1.99.21 > GO:D-sorbitol dehydrogenase (acceptor) activity ; GO:0047833
EC:1.1.99.22 > GO:glycerol dehydrogenase (acceptor) activity ; GO:0047955
EC:1.1.99.23 > GO:polyvinyl-alcohol dehydrogenase (acceptor) activity ; GO:0047059
